VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2018-01-01T00:21:05.000-04:00,2018-01-01T00:24:23.000-04:00,1,0.5,1,N,41,24,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
1,2018-01-01T00:44:55.000-04:00,2018-01-01T01:03:05.000-04:00,1,2.7,1,N,239,140,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3
1,2018-01-01T00:08:26.000-04:00,2018-01-01T00:14:21.000-04:00,2,0.8,1,N,262,141,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3
1,2018-01-01T00:20:22.000-04:00,2018-01-01T00:52:51.000-04:00,1,10.2,1,N,140,257,2,33.5,0.5,0.5,0.0,0.0,0.3,34.8
1,2018-01-01T00:09:18.000-04:00,2018-01-01T00:27:06.000-04:00,2,2.5,1,N,246,239,1,12.5,0.5,0.5,2.75,0.0,0.3,16.55
1,2018-01-01T00:29:29.000-04:00,2018-01-01T00:32:48.000-04:00,3,0.5,1,N,143,143,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
1,2018-01-01T00:38:08.000-04:00,2018-01-01T00:48:24.000-04:00,2,1.7,1,N,50,239,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35
1,2018-01-01T00:49:29.000-04:00,2018-01-01T00:51:53.000-04:00,1,0.7,1,N,239,238,1,4.0,0.5,0.5,1.0,0.0,0.3,6.3
1,2018-01-01T00:56:38.000-04:00,2018-01-01T01:01:05.000-04:00,1,1.0,1,N,238,24,1,5.5,0.5,0.5,1.7,0.0,0.3,8.5
1,2018-01-01T00:17:04.000-04:00,2018-01-01T00:22:24.000-04:00,1,0.7,1,N,170,170,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
1,2018-01-01T00:41:03.000-04:00,2018-01-01T00:46:49.000-04:00,1,0.6,1,N,162,229,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15
1,2018-01-01T00:52:54.000-04:00,2018-01-01T01:17:33.000-04:00,1,3.5,1,N,141,113,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8
2,2018-01-01T00:17:54.000-04:00,2018-01-01T00:22:05.000-04:00,1,1.04,1,N,137,224,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2018-01-01T00:24:47.000-04:00,2018-01-01T00:34:20.000-04:00,1,1.22,1,N,224,79,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
2,2018-01-01T00:37:57.000-04:00,2018-01-01T00:53:43.000-04:00,1,1.92,1,N,234,100,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3
1,2018-01-01T00:35:53.000-04:00,2018-01-01T00:52:59.000-04:00,1,5.7,1,N,13,189,1,19.0,0.5,0.5,4.05,0.0,0.3,24.35
2,2018-01-01T00:30:47.000-04:00,2018-01-01T01:13:20.000-04:00,1,3.74,1,N,48,236,1,25.5,0.5,0.5,6.7,0.0,0.3,33.5
1,2018-01-01T00:21:45.000-04:00,2018-01-01T00:25:58.000-04:00,2,0.6,1,N,163,162,1,4.5,0.5,0.5,1.7,0.0,0.3,7.5
1,2018-01-01T00:31:11.000-04:00,2018-01-01T01:07:56.000-04:00,1,10.9,1,N,229,61,2,35.0,0.5,0.5,0.0,0.0,0.3,36.3
2,2018-01-01T00:15:42.000-04:00,2018-01-01T00:21:38.000-04:00,5,1.22,1,N,236,75,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2018-01-01T00:25:19.000-04:00,2018-01-01T00:45:02.000-04:00,5,3.13,1,N,263,143,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3
2,2018-01-01T00:51:36.000-04:00,2018-01-01T01:04:13.000-04:00,5,2.22,1,N,239,24,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8
2,2018-01-01T00:09:11.000-04:00,2018-01-01T00:30:24.000-04:00,1,2.93,1,N,90,233,1,14.5,0.5,0.5,2.0,0.0,0.3,17.8
2,2018-01-01T00:32:00.000-04:00,2018-01-01T00:58:50.000-04:00,1,3.52,1,N,233,125,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3
1,2018-01-01T00:41:49.000-04:00,2018-01-01T00:54:44.000-04:00,4,3.0,1,N,161,146,1,12.0,0.5,0.5,2.65,0.0,0.3,15.95
2,2018-01-01T00:17:15.000-04:00,2018-01-01T00:21:49.000-04:00,5,0.25,1,N,234,234,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2,2018-01-01T00:24:54.000-04:00,2018-01-01T00:46:55.000-04:00,5,3.31,1,N,234,143,1,16.0,0.5,0.5,3.46,0.0,0.3,20.76
2,2018-01-01T00:48:40.000-04:00,2018-01-01T00:51:30.000-04:00,5,0.57,1,N,142,239,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36
1,2018-01-01T00:24:42.000-04:00,2018-01-01T00:31:56.000-04:00,2,0.7,1,N,170,162,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
1,2018-01-01T00:36:09.000-04:00,2018-01-01T00:43:06.000-04:00,1,1.8,1,N,233,263,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
1,2018-01-01T00:49:20.000-04:00,2018-01-01T00:57:58.000-04:00,2,1.2,1,N,236,237,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
1,2018-01-01T00:13:37.000-04:00,2018-01-01T00:23:52.000-04:00,1,2.7,1,N,142,166,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15
1,2018-01-01T00:33:29.000-04:00,2018-01-01T01:18:08.000-04:00,2,4.3,1,N,238,249,2,27.5,0.5,0.5,0.0,0.0,0.3,28.8
2,2018-01-01T00:15:34.000-04:00,2018-01-01T00:22:43.000-04:00,1,0.89,1,N,151,238,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2018-01-01T00:25:52.000-04:00,2018-01-01T00:29:24.000-04:00,1,0.49,1,N,238,238,1,4.5,0.5,0.5,1.45,0.0,0.3,7.25
2,2018-01-01T00:32:10.000-04:00,2018-01-01T00:36:07.000-04:00,2,0.8,1,N,238,151,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
2,2018-01-01T00:45:07.000-04:00,2018-01-01T00:58:29.000-04:00,1,2.09,1,N,238,143,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76
2,2018-01-01T00:31:23.000-04:00,2018-01-01T00:45:38.000-04:00,1,2.32,1,N,186,231,1,11.0,0.5,0.5,3.08,0.0,0.3,15.38
2,2018-01-01T00:47:03.000-04:00,2018-01-01T01:26:24.000-04:00,1,9.49,1,N,231,116,1,35.0,0.5,0.5,9.08,0.0,0.3,45.38
1,2018-01-01T00:21:19.000-04:00,2018-01-01T00:28:33.000-04:00,2,2.5,1,N,141,145,1,9.5,0.5,0.5,2.7,0.0,0.3,13.5
1,2018-01-01T00:32:45.000-04:00,2018-01-01T00:47:19.000-04:00,1,4.6,1,N,145,263,1,15.5,0.5,0.5,4.2,0.0,0.3,21.0
1,2018-01-01T00:54:40.000-04:00,2018-01-01T01:03:54.000-04:00,1,3.0,1,N,141,146,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8
1,2018-01-01T00:23:44.000-04:00,2018-01-01T00:52:12.000-04:00,1,7.3,1,N,90,82,1,26.5,0.5,0.5,1.0,5.76,0.3,34.56
1,2018-01-01T00:04:17.000-04:00,2018-01-01T00:15:59.000-04:00,1,1.3,1,N,144,234,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35
1,2018-01-01T00:17:41.000-04:00,2018-01-01T00:41:31.000-04:00,1,0.8,1,N,234,164,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8
1,2018-01-01T00:42:46.000-04:00,2018-01-01T00:44:41.000-04:00,1,0.1,1,N,164,164,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3
1,2018-01-01T00:48:05.000-04:00,2018-01-01T00:55:15.000-04:00,2,0.2,1,N,164,164,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75
1,2018-01-01T00:58:08.000-04:00,2018-01-01T01:05:33.000-04:00,1,1.0,1,N,164,68,1,6.5,0.5,0.5,1.5,0.0,0.3,9.3
2,2018-01-01T00:19:12.000-04:00,2018-01-01T00:34:49.000-04:00,2,1.13,1,N,237,161,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8
2,2018-01-01T00:36:55.000-04:00,2018-01-01T00:51:58.000-04:00,4,0.41,1,N,161,170,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56
1,2018-01-01T00:17:28.000-04:00,2018-01-01T00:37:38.000-04:00,1,2.8,1,N,142,48,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8
1,2018-01-01T00:55:41.000-04:00,2018-01-01T01:05:35.000-04:00,1,1.2,1,N,68,68,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15
1,2018-01-01T00:32:46.000-04:00,2018-01-01T00:49:10.000-04:00,1,1.2,1,N,234,90,1,11.0,0.5,0.5,1.7,0.0,0.3,14.0
2,2018-01-01T00:22:51.000-04:00,2018-01-01T00:30:34.000-04:00,1,2.09,1,N,263,233,1,8.5,0.5,0.5,1.0,0.0,0.3,10.8
2,2018-01-01T00:56:42.000-04:00,2018-01-01T01:00:17.000-04:00,1,0.79,1,N,236,239,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
2,2018-01-01T00:13:17.000-04:00,2018-01-01T00:30:22.000-04:00,2,2.84,1,N,234,13,1,13.0,0.5,0.5,2.86,0.0,0.3,17.16
2,2018-01-01T00:32:59.000-04:00,2018-01-01T00:43:19.000-04:00,4,1.56,1,N,13,148,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8
2,2018-01-01T00:51:26.000-04:00,2018-01-01T01:00:53.000-04:00,2,1.76,1,N,144,88,1,8.5,0.5,0.5,2.45,0.0,0.3,12.25
2,2018-01-01T01:02:39.000-04:00,2018-01-01T01:04:02.000-04:00,2,0.09,1,N,87,87,4,-3.0,-0.5,-0.5,0.0,0.0,-0.3,-4.3
2,2018-01-01T01:02:39.000-04:00,2018-01-01T01:04:02.000-04:00,2,0.09,1,N,87,87,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3
1,2018-01-01T00:23:47.000-04:00,2018-01-01T00:34:28.000-04:00,1,6.0,1,N,247,213,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8
1,2018-01-01T00:38:57.000-04:00,2018-01-01T00:39:00.000-04:00,1,6.0,1,N,213,213,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8
1,2018-01-01T00:48:59.000-04:00,2018-01-01T00:49:00.000-04:00,1,6.0,1,N,213,213,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8
1,2018-01-01T00:20:53.000-04:00,2018-01-01T00:20:53.000-04:00,1,0.0,1,N,161,264,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8
2,2018-01-01T00:08:50.000-04:00,2018-01-01T00:12:03.000-04:00,6,1.43,1,N,75,74,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2018-01-01T00:21:18.000-04:00,2018-01-01T00:24:27.000-04:00,6,0.6,1,N,262,236,1,4.5,0.5,0.5,2.0,0.0,0.3,7.8
2,2018-01-01T00:26:54.000-04:00,2018-01-01T00:29:52.000-04:00,6,0.49,1,N,236,263,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36
1,2018-01-01T00:55:15.000-04:00,2018-01-01T01:04:17.000-04:00,2,1.5,1,N,114,224,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16
1,2018-01-01T00:17:15.000-04:00,2018-01-01T00:37:37.000-04:00,1,4.4,1,N,107,25,1,17.0,0.5,0.5,5.45,0.0,0.3,23.75
1,2018-01-01T00:54:59.000-04:00,2018-01-01T00:58:41.000-04:00,1,0.9,1,N,231,158,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
1,2018-01-01T00:11:46.000-04:00,2018-01-01T00:24:29.000-04:00,1,2.8,1,N,114,246,1,11.5,0.5,0.5,3.2,0.0,0.3,16.0
1,2018-01-01T00:26:48.000-04:00,2018-01-01T00:42:22.000-04:00,1,4.4,1,N,50,12,1,15.5,0.5,0.5,2.2,0.0,0.3,19.0
1,2018-01-01T00:47:32.000-04:00,2018-01-01T01:06:51.000-04:00,3,6.4,1,N,209,263,1,21.0,0.5,0.5,3.5,0.0,0.3,25.8
2,2018-01-01T00:23:24.000-04:00,2018-01-01T00:27:32.000-04:00,2,0.23,2,N,186,164,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
2,2018-01-01T00:27:58.000-04:00,2018-01-01T00:58:10.000-04:00,1,3.02,1,N,164,142,1,18.5,0.5,0.5,1.0,0.0,0.3,20.8
1,2018-01-01T00:15:00.000-04:00,2018-01-01T00:23:01.000-04:00,1,1.7,1,N,239,24,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15
1,2018-01-01T00:27:07.000-04:00,2018-01-01T00:36:21.000-04:00,1,1.8,1,N,24,263,1,8.0,0.5,0.5,2.3,0.0,0.3,11.6
1,2018-01-01T00:40:25.000-04:00,2018-01-01T00:47:22.000-04:00,1,2.1,1,N,236,162,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8
1,2018-01-01T00:58:14.000-04:00,2018-01-01T01:15:34.000-04:00,1,3.0,1,N,237,224,1,13.0,0.5,0.5,2.85,0.0,0.3,17.15
2,2018-01-01T00:01:22.000-04:00,2018-01-01T00:02:35.000-04:00,1,0.47,1,N,74,75,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8
2,2018-01-01T00:08:20.000-04:00,2018-01-01T00:14:36.000-04:00,1,1.6,1,N,263,239,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96
2,2018-01-01T00:20:16.000-04:00,2018-01-01T00:53:04.000-04:00,2,4.43,1,N,142,224,1,22.5,0.5,0.5,1.0,0.0,0.3,24.8
2,2018-01-01T01:00:12.000-04:00,2018-01-01T01:01:44.000-04:00,1,0.53,1,N,233,229,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8
1,2018-01-01T00:18:31.000-04:00,2018-01-01T00:23:38.000-04:00,2,0.7,1,N,43,236,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15
1,2018-01-01T00:28:40.000-04:00,2018-01-01T00:33:10.000-04:00,1,1.1,1,N,237,162,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
1,2018-01-01T00:44:11.000-04:00,2018-01-01T01:14:59.000-04:00,2,2.1,1,N,161,68,1,18.5,0.5,0.5,3.95,0.0,0.3,23.75
1,2018-01-01T00:27:24.000-04:00,2018-01-01T00:37:55.000-04:00,1,2.8,1,N,143,166,1,10.5,0.5,0.5,3.5,0.0,0.3,15.3
1,2018-01-01T00:43:39.000-04:00,2018-01-01T01:09:38.000-04:00,1,6.8,1,N,151,79,1,24.5,0.5,0.5,5.15,0.0,0.3,30.95
2,2018-01-01T00:06:47.000-04:00,2018-01-01T00:09:13.000-04:00,1,0.47,1,N,238,238,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
2,2018-01-01T00:12:29.000-04:00,2018-01-01T00:16:56.000-04:00,1,0.88,1,N,238,166,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16
2,2018-01-01T00:21:33.000-04:00,2018-01-01T00:39:57.000-04:00,1,6.31,1,N,151,249,2,20.5,0.5,0.5,0.0,0.0,0.3,21.8
2,2018-01-01T00:44:01.000-04:00,2018-01-01T01:02:55.000-04:00,1,3.99,1,N,249,239,1,15.5,0.5,0.5,5.04,0.0,0.3,21.84
2,2018-01-01T00:11:27.000-04:00,2018-01-01T00:21:57.000-04:00,1,2.54,1,N,209,66,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3
2,2018-01-01T00:29:24.000-04:00,2018-01-01T00:48:55.000-04:00,1,4.2,1,N,65,186,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8
1,2018-01-01T00:08:10.000-04:00,2018-01-01T00:12:53.000-04:00,4,0.7,1,N,4,232,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
1,2018-01-01T00:19:39.000-04:00,2018-01-01T00:31:58.000-04:00,2,1.3,1,N,232,79,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
1,2018-01-01T00:35:41.000-04:00,2018-01-01T00:44:15.000-04:00,1,0.8,1,N,4,148,1,7.0,0.5,0.5,1.25,0.0,0.3,9.55
1,2018-01-01T00:46:56.000-04:00,2018-01-01T00:52:52.000-04:00,1,0.8,1,N,148,4,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15
1,2018-01-01T00:57:14.000-04:00,2018-01-01T01:02:57.000-04:00,2,1.1,1,N,4,224,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
